Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Trading Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Available For Sale Securities,Hedging Assets Current,Other Inventories
15020000.0,15020000.0,783702000.0,794251000.0,704642000.0,1491675000.0,441529000.0,704642000.0,7263000.0,704687000.0,847380000.0,698704000.0,-5983000.0,704687000.0,554667000.0,,,150020000.0,150020000.0,1219060000.0,202555000.0,11557000.0,,,35470000.0,146100000.0,3407000.0,142693000.0,9428000.0,1016505000.0,17116000.0,648151000.0,3856000.0,644295000.0,12751000.0,283618000.0,,2158000.0,281460000.0,1917764000.0,459730000.0,,10247000.0,0.0,,,3413000.0,3413000.0,0.0,45000.0,45000.0,0.0,446025000.0,,446025000.0,0.0,446025000.0,,,,,1458034000.0,117342000.0,,758246000.0,,,,14074000.0,,550574000.0,,,17798000.0,14512000.0,3286000.0,,2024-03-31,,,
15020000.0,15020000.0,521371000.0,525706000.0,671203000.0,1196956000.0,454779500.0,671203000.0,,671250000.0,781456000.0,665634000.0,-5616000.0,671250000.0,521230000.0,,,150020000.0,150020000.0,1103031000.0,164155500.0,12499500.0,,,32545000.0,110206000.0,,110206000.0,8905000.0,938875500.0,213606000.0,415500000.0,,415500000.0,16054000.0,293715500.0,,0.0,293715500.0,1768665000.0,375010000.0,-1000.0,5093000.0,0.0,,,9938000.0,9938000.0,0.0,47000.0,47000.0,0.0,359933000.0,,359933000.0,0.0,359933000.0,,,,,1393655000.0,97782000.0,,746177000.0,,,,10327000.0,167000.0,512483000.0,,,26719000.0,22384000.0,4335000.0,,2023-09-30,,,
15020000.0,15020000.0,504915000.0,508062000.0,667687000.0,1175797000.0,476421000.0,667687000.0,,667735000.0,800702000.0,667735000.0,,667735000.0,517715000.0,,,150020000.0,150020000.0,986783000.0,182564000.0,9438000.0,,,31811000.0,132967000.0,,132967000.0,8348000.0,804219000.0,120343000.0,375095000.0,,375095000.0,17543000.0,291238000.0,,0.0,291238000.0,1654518000.0,373878000.0,,4948000.0,0.0,,,8563000.0,8563000.0,0.0,48000.0,48000.0,0.0,360319000.0,,360319000.0,0.0,360319000.0,,,,,1280640000.0,70166000.0,,636445000.0,,,,12500000.0,167000.0,536254000.0,,,25108000.0,21961000.0,3147000.0,,2023-06-30,,,
15020000.0,15020000.0,480651601.0,506236672.0,640083099.0,1146369269.0,456046636.0,640083099.0,,640132597.0,778643206.0,640132597.0,,640132597.0,,358747390.0,126907072.0,150020000.0,150020000.0,981558222.0,186168223.0,,7121637.0,9438764.0,31097213.0,138510609.0,,138510609.0,,795389999.0,,367726063.0,,367726063.0,,415487599.0,112913840.0,0.0,302573759.0,1621690819.0,370254184.0,,5018202.0,0.0,6625000.0,6625000.0,,,0.0,49498.0,49498.0,0.0,358561484.0,-243757105.0,602318589.0,0.0,,505311731.0,88385984.0,8620874.0,0.0,1251436635.0,,51112181.0,628756799.0,404100288.0,31756696.0,192899815.0,,31162391.0,493036487.0,0.0,493036487.0,47368777.0,21783706.0,25585071.0,25585071.0,2023-03-31,,,
