Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
33051759.0,33051759.0,1386750000.0,2562710000.0,4360830000.0,5850120000.0,-190660000.0,4360830000.0,1104660000.0,4392070000.0,4441050000.0,4392070000.0,4392070000.0,4061550000.0,,,330520000.0,330520000.0,6576580000.0,1276900000.0,117650000.0,1067510000.0,1018530000.0,48980000.0,91740000.0,5299680000.0,410200000.0,,1495200000.0,86130000.0,1409070000.0,78870000.0,3109410000.0,,0.0,3109410000.0,10968650000.0,5859630000.0,407100000.0,,,24520000.0,19990000.0,19990000.0,,,31240000.0,30090000.0,1150000.0,5366590000.0,,5366590000.0,295670000.0,5070920000.0,,,,,5109020000.0,287520000.0,,,,3203350000.0,,,,60000.0,1462770000.0,,,155320000.0,84020000.0,71300000.0,,2024-03-31
33030395.0,33030395.0,548120000.0,1481790000.0,4247650000.0,5020580000.0,309060000.0,4247650000.0,746310000.0,4285100000.0,4359870000.0,4285100000.0,4285100000.0,3954790000.0,,,330310000.0,330310000.0,6279260000.0,1057450000.0,215020000.0,760490000.0,685720000.0,74770000.0,81940000.0,5221810000.0,684760000.0,,721300000.0,60590000.0,660710000.0,66400000.0,3523470000.0,,91530000.0,3431940000.0,10564360000.0,5033490000.0,287200000.0,,,25640000.0,38650000.0,38650000.0,,,37450000.0,36130000.0,1320000.0,4631400000.0,,4631400000.0,123560000.0,4507840000.0,,,,,5530870000.0,253390000.0,,,,2931640000.0,,,,250000.0,1929210000.0,,,416380000.0,229020000.0,187360000.0,,2023-09-30
33026895.0,33026895.0,1262540000.0,1632420000.0,3992120000.0,5321480000.0,172080000.0,3992120000.0,344620000.0,4033680000.0,4133900000.0,4033680000.0,4033680000.0,6290000.0,-176720000.0,3873840000.0,330270000.0,330270000.0,4941070000.0,760290000.0,272560000.0,422970000.0,322750000.0,100220000.0,64760000.0,4180780000.0,413230000.0,1290000.0,1209450000.0,21870000.0,1187580000.0,199760000.0,2564340000.0,347830000.0,1290000.0,2216510000.0,8974750000.0,4621890000.0,396860000.0,2820000.0,427610000.0,13700000.0,81470000.0,81470000.0,0.0,0.0,41560000.0,40240000.0,1320000.0,4075150000.0,-911770000.0,4986920000.0,95310000.0,373640000.0,2901360000.0,818400000.0,798210000.0,0.0,4352860000.0,63760000.0,4330000.0,172410000.0,239820000.0,2433450000.0,934830000.0,244200000.0,1254420000.0,5250000.0,1408580000.0,-265190000.0,1673770000.0,25260000.0,181990000.0,25260000.0,25260000.0,2023-03-31
