Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Inventory,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
305255771.0,305255771.0,28000000.0,1777600000.0,6483400000.0,6759600000.0,3869400000.0,6483400000.0,1534600000.0,6516600000.0,6705600000.0,6516600000.0,6516600000.0,4990300000.0,1526300000.0,1526300000.0,4448400000.0,1685400000.0,31900000.0,1518400000.0,1329400000.0,189000000.0,88700000.0,2763000000.0,182700000.0,259200000.0,205200000.0,54000000.0,18000000.0,2068100000.0,66200000.0,2001900000.0,10965000000.0,4333400000.0,17700000.0,310600000.0,195000000.0,195000000.0,33200000.0,33200000.0,3705300000.0,3705300000.0,182900000.0,3522400000.0,6632400000.0,923700000.0,3962700000.0,10700000.0,1182600000.0,552700000.0,337700000.0,215000000.0,2024-03-31
305217642.0,305217642.0,1622800000.0,3273100000.0,5910600000.0,7592300000.0,3216000000.0,5910600000.0,1605000000.0,5924200000.0,6140200000.0,5924200000.0,5924200000.0,4398100000.0,1526100000.0,1526100000.0,5784200000.0,1734300000.0,,1605700000.0,1389700000.0,216000000.0,79200000.0,4049900000.0,150800000.0,1667400000.0,215300000.0,1452100000.0,13200000.0,2013500000.0,30500000.0,1983000000.0,11708400000.0,4442500000.0,5400000.0,257000000.0,154700000.0,154700000.0,13600000.0,,3868600000.0,3868600000.0,259700000.0,3608900000.0,7265900000.0,980500000.0,4746400000.0,25400000.0,1417400000.0,96200000.0,50900000.0,45300000.0,2023-09-30
304686278.0,304686278.0,1567810000.0,3350100000.0,5507700000.0,7328890000.0,2931710000.0,5507700000.0,1542410000.0,5521200000.0,5777850000.0,5521200000.0,5521200000.0,3997770000.0,1523430000.0,1523430000.0,6237950000.0,1685590000.0,,1574220000.0,1317570000.0,256650000.0,74130000.0,4552360000.0,173960000.0,1775880000.0,224840000.0,1551040000.0,10230000.0,2178130000.0,34610000.0,2143520000.0,11759150000.0,4275080000.0,22590000.0,239360000.0,173340000.0,173340000.0,13500000.0,,3756790000.0,3756790000.0,38090000.0,3718700000.0,7484070000.0,980010000.0,4489740000.0,7900000.0,1766480000.0,239940000.0,60000.0,239880000.0,2023-03-31
