Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Other Special Charges
-68888400.0,0.4,341920000.0,-172221000.0,-172221000.0,141808000.0,15333000.0,724201000.0,169699000.0,154366000.0,-26884000.0,26884000.0,245140600.0,141808000.0,967341000.0,,,,,141808000.0,141808000.0,0.0,141808000.0,-9420000.0,151228000.0,151228000.0,-23746000.0,127482000.0,147642000.0,-172221000.0,-26884000.0,26884000.0,178945000.0,243140000.0,147378000.0,15333000.0,15333000.0,422085000.0,724201000.0,1146286000.0,1146286000.0,2024-03-31,
-28861442.12043,0.30934,409633000.0,-93300000.0,-93300000.0,162871000.0,24832000.0,971921000.0,316333000.0,291501000.0,-38873000.0,38873000.0,227309557.87957,162871000.0,1335403000.0,65410040.0,65410040.0,2.49,2.49,162871000.0,162871000.0,0.0,162871000.0,-11645000.0,174516000.0,174480000.0,78148000.0,252628000.0,196705000.0,-93300000.0,-38873000.0,38873000.0,188154000.0,363482000.0,241645000.0,24832000.0,24832000.0,551636000.0,971921000.0,1523557000.0,1523557000.0,2023-12-31,
1342091.643569,0.300043,401708000.0,4473000.0,4473000.0,230879000.0,27237000.0,1401898000.0,406181000.0,378944000.0,-35843000.0,35843000.0,227748091.643569,230879000.0,1761365000.0,65590625.0,65590625.0,3.52,3.52,230879000.0,230879000.0,0.0,230879000.0,-9277000.0,240156000.0,240156000.0,102945000.0,343101000.0,147523000.0,4473000.0,-35843000.0,35843000.0,226948000.0,359467000.0,235140000.0,27237000.0,27237000.0,586415000.0,1401898000.0,1988313000.0,1988313000.0,2023-09-30,
0.0,0.304259,365660000.0,,,219949000.0,26596000.0,1790636000.0,365660000.0,339064000.0,-21272000.0,21272000.0,219949000.0,219949000.0,2087036000.0,65461012.0,65461012.0,3.36,3.36,219949000.0,219949000.0,0.0,219949000.0,-1152000.0,221101000.0,221101000.0,96691000.0,317792000.0,139190000.0,,-21272000.0,21272000.0,270197000.0,296400000.0,181711000.0,26596000.0,26596000.0,566597000.0,1790636000.0,2357233000.0,2357233000.0,2023-06-30,
0.0,0.325562,612200000.0,,,376382000.0,36955000.0,2525718000.0,612200000.0,575245000.0,554251000.0,9304000.0,376382000.0,376382000.0,2644869000.0,,,,,376382000.0,376382000.0,0.0,376382000.0,-5310000.0,381692000.0,381692000.0,184249000.0,565941000.0,-446193000.0,,554251000.0,9304000.0,411886000.0,119151000.0,-77335000.0,36955000.0,36955000.0,531037000.0,2525718000.0,3056755000.0,3056755000.0,2023-03-31,
,,,0.0,0.0,,,,,,,,,,,65558650.0,65558650.0,4.74,4.74,,,,,,,,,,,0.0,,,,,,,,,,,,2022-12-31,
-12402854.122233,0.331122,351989000.0,-37457000.0,-37457000.0,170379000.0,14435000.0,677673000.0,314532000.0,300097000.0,-22529000.0,22529000.0,195433145.877767,170379000.0,924723000.0,65530385.0,65530385.0,2.6,2.6,170379000.0,170379000.0,0.0,170379000.0,-15280000.0,185659000.0,185659000.0,91909000.0,277568000.0,211016000.0,-37457000.0,-22529000.0,22529000.0,126538000.0,247050000.0,148325000.0,14435000.0,14435000.0,373588000.0,677673000.0,1051261000.0,1051261000.0,2024-06-30 00:00:00,37457000.0
