Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.316089,281500000.0,0.0,0.0,142910000.0,57850000.0,786810000.0,281500000.0,223650000.0,-14690000.0,14690000.0,,142910000.0,142910000.0,1309430000.0,,,,,142910000.0,142910000.0,0.0,142910000.0,142910000.0,142910000.0,66050000.0,208960000.0,70440000.0,0.0,,-14690000.0,14690000.0,,153210000.0,522620000.0,392210000.0,57850000.0,57850000.0,675830000.0,786810000.0,1462640000.0,1462640000.0,2024-03-31
0.0,0.227072,240990000.0,0.0,0.0,160800000.0,51100000.0,414350000.0,240990000.0,189890000.0,2730000.0,,2730000.0,160800000.0,160800000.0,872070000.0,68717949.0,68717949.0,2.34,2.34,160800000.0,160800000.0,0.0,160800000.0,160800000.0,160800000.0,47240000.0,208040000.0,15420000.0,0.0,,2730000.0,,2730000.0,189890000.0,457720000.0,340800000.0,51100000.0,51100000.0,647610000.0,414350000.0,1061960000.0,1061960000.0,2023-12-31
0.0,0.271247,271310000.0,0.0,0.0,155800000.0,46500000.0,355530000.0,271310000.0,224810000.0,-11020000.0,11020000.0,,155800000.0,155800000.0,819280000.0,66866953.0,66866953.0,2.33,2.33,155800000.0,155800000.0,0.0,155800000.0,155800000.0,155800000.0,57990000.0,213790000.0,17290000.0,0.0,,-11020000.0,11020000.0,,207540000.0,463750000.0,347240000.0,46500000.0,46500000.0,671290000.0,355530000.0,1026820000.0,1026820000.0,2023-09-30
-259287.592637,0.259288,282370000.0,-1000000.0,-1000000.0,154920000.0,47130000.0,599710000.0,281370000.0,234240000.0,-25090000.0,25090000.0,,155660712.407363,154920000.0,1015770000.0,66205128.0,65367089.0,2.34,2.37,154920000.0,154920000.0,0.0,154920000.0,154920000.0,154920000.0,54230000.0,209150000.0,31660000.0,-1000000.0,,-25090000.0,25090000.0,,203580000.0,416060000.0,306360000.0,47130000.0,47130000.0,619640000.0,599710000.0,1219350000.0,1219350000.0,2023-06-30
-4410082.430163,0.24958,262590000.0,-17670000.0,-17670000.0,147490000.0,49110000.0,913660000.0,244920000.0,195810000.0,70980000.0,-720000.0,,160749917.569837,147490000.0,1145130000.0,,,,,147490000.0,147490000.0,0.0,147490000.0,147480000.0,147480000.0,49050000.0,196530000.0,-57030000.0,-18160000.0,2960000.0,70980000.0,-720000.0,,195540000.0,231470000.0,-290860000.0,49110000.0,49110000.0,427010000.0,913660000.0,1340670000.0,1340670000.0,2023-03-31
,,,,,,,,,,,17900000.0,,,,,63379913.0,62291845.0,2.29,2.33,,,,,,,,,,,,,17900000.0,,,,,,,,,,,2022-12-31
0.0,0.25291,288600000.0,0.0,0.0,164300000.0,54990000.0,309210000.0,288600000.0,233610000.0,-13690000.0,13690000.0,,164300000.0,164300000.0,678770000.0,72061404.0,72061404.0,2.28,2.28,164300000.0,164300000.0,0.0,164300000.0,164300000.0,164300000.0,55620000.0,219920000.0,37130000.0,0.0,,-13690000.0,13690000.0,,196480000.0,369560000.0,246630000.0,54990000.0,54990000.0,566040000.0,309210000.0,875250000.0,875250000.0,2024-06-30 00:00:00
