Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number
538965858.0,538965858.0,23681100000.0,25774000000.0,38456300000.0,66180000000.0,7226900000.0,38456300000.0,703500000.0,41109500000.0,49091800000.0,41155700000.0,46200000.0,41109500000.0,40031600000.0,,,1077900000.0,1077900000.0,42714600000.0,11591800000.0,1059500000.0,,,570400000.0,8603900000.0,621600000.0,7982300000.0,934700000.0,31122800000.0,1442500000.0,,17170100000.0,81900000.0,17088200000.0,,248100000.0,10874500000.0,,,362100000.0,10512400000.0,83870300000.0,45520600000.0,648800000.0,,1713600000.0,1713600000.0,,,,2653200000.0,190200000.0,2463000000.0,40475300000.0,,40475300000.0,4228400000.0,36246900000.0,,,,,38349700000.0,1752200000.0,,,,18454100000.0,,,,9500000.0,16629200000.0,,,1504700000.0,115300000.0,1389400000.0,,,2024-03-31,
538650925.0,538650925.0,20208600000.0,21343300000.0,37711200000.0,61174200000.0,7225000000.0,37711200000.0,467300000.0,40298200000.0,46828200000.0,40430600000.0,132400000.0,40298200000.0,39220900000.0,,,1077300000.0,1077300000.0,40145700000.0,10691400000.0,1149800000.0,,,772300000.0,6931900000.0,401900000.0,6530000000.0,925400000.0,29454300000.0,3118100000.0,,14411400000.0,65400000.0,14346000000.0,,224700000.0,10211500000.0,,,243800000.0,9967700000.0,80576300000.0,43897000000.0,663100000.0,,1426400000.0,1426400000.0,,,,2587000000.0,124000000.0,2463000000.0,39149100000.0,,39149100000.0,4435100000.0,34714000000.0,,,,,36679300000.0,1708100000.0,,,,18655300000.0,,,,8900000.0,15487500000.0,,,819500000.0,152100000.0,667400000.0,,,2023-09-30,
538650925.0,538650925.0,19260200000.0,20150900000.0,37783000000.0,60095000000.0,10294200000.0,37783000000.0,431200000.0,40375300000.0,47989500000.0,40486600000.0,111300000.0,40375300000.0,120800000.0,33020100000.0,7130600000.0,1077300000.0,1077300000.0,36117400000.0,11794800000.0,1255000000.0,814700000.0,1255000000.0,824500000.0,7988600000.0,374400000.0,7614200000.0,814700000.0,24322600000.0,630000000.0,650000000.0,12162300000.0,56800000.0,12105500000.0,200900000.0,200900000.0,9197300000.0,2088000000.0,2800000.0,,7106500000.0,76604000000.0,41987200000.0,1195700000.0,1510200000.0,35100000.0,1000000.0,34100000.0,464900000.0,464900000.0,2592300000.0,129300000.0,2463000000.0,37001700000.0,-13574100000.0,50575800000.0,5507800000.0,1334300000.0,29734800000.0,11757300000.0,2241600000.0,0.0,34616800000.0,23100000.0,9800000.0,25100000.0,904800000.0,16848100000.0,4998000000.0,5620800000.0,6229300000.0,542000000.0,15804400000.0,-13600000.0,15818000000.0,459500000.0,27900000.0,459500000.0,266100000.0,193400000.0,2023-03-31,
