Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,31250000.0,31250000.0,1039432000.0,1068931000.0,4970560000.0,6039491000.0,2420062000.0,4970560000.0,4970560000.0,5044080000.0,4970560000.0,4970560000.0,4658060000.0,,,312500000.0,312500000.0,1362577000.0,157013000.0,,,83493000.0,73520000.0,73520000.0,1205564000.0,79013000.0,,995411000.0,995411000.0,24804000.0,102563000.0,,0.0,102563000.0,6333137000.0,2707511000.0,133238000.0,,2574273000.0,,2574273000.0,36497000.0,2537776000.0,,,,,3625626000.0,475843000.0,,,1976441000.0,,,,,1069322000.0,,,104020000.0,74521000.0,29499000.0,,2024-03-31
,31250000.0,31250000.0,771325000.0,831780000.0,5019484000.0,5851264000.0,2455702000.0,5019484000.0,5019484000.0,5125678000.0,5019484000.0,5019484000.0,4706984000.0,,,312500000.0,312500000.0,1209765000.0,173328000.0,,,66962000.0,106194000.0,106194000.0,1036437000.0,31202000.0,,725586000.0,725586000.0,61253000.0,215568000.0,,31413000.0,184155000.0,6229249000.0,2737110000.0,155840000.0,,2581270000.0,,2581270000.0,8785000.0,2572485000.0,,,,,3492139000.0,415736000.0,,,1776404000.0,,,,,1112018000.0,,,187981000.0,127526000.0,60455000.0,,2023-09-30
0.0,31250000.0,31250000.0,889598000.0,905799000.0,4899624000.0,5805423000.0,2262591000.0,4899624000.0,4899624000.0,4927518000.0,4899624000.0,4899624000.0,4587126000.0,3383219000.0,1103905000.0,312500000.0,312500000.0,1238704000.0,100905000.0,1000.0,9313000.0,63697000.0,27894000.0,27894000.0,1137799000.0,37752000.0,0.0,877905000.0,877905000.0,46266000.0,172977000.0,447000.0,0.0,172530000.0,6138328000.0,2737938000.0,134905000.0,66824000.0,2603033000.0,-1020308000.0,3623341000.0,179145000.0,2423888000.0,1939034000.0,1121614000.0,383548000.0,0.0,3400390000.0,347762000.0,0.0,143718000.0,1800487000.0,1651991000.0,63888000.0,84608000.0,232543000.0,1119691000.0,0.0,1119691000.0,103951000.0,87750000.0,16201000.0,16201000.0,2023-03-31
