Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Raw Materials,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
156727.0,73514821.0,73671548.0,159000000.0,848400000.0,14084000000.0,15341600000.0,3671700000.0,14084000000.0,297500000.0,14790700000.0,14790700000.0,14790700000.0,14790700000.0,14054000000.0,,,736700000.0,736700000.0,7687800000.0,320800000.0,0.0,,283000000.0,283000000.0,,7367000000.0,222800000.0,565400000.0,14500000.0,550900000.0,,182300000.0,1122300000.0,,,1122300000.0,22478500000.0,11439800000.0,24900000.0,,301900000.0,6852200000.0,6852200000.0,,0.0,0.0,1486800000.0,706700000.0,,1511700000.0,,1511700000.0,25200000.0,1486500000.0,,,,,11038700000.0,788500000.0,,,485400000.0,,,1281600000.0,,,8483200000.0,8091300000.0,391900000.0,,,2024-03-31
,73671548.0,73671548.0,866100000.0,1485500000.0,14014100000.0,15808600000.0,2930100000.0,14014100000.0,397500000.0,14720600000.0,14720600000.0,14720600000.0,14720600000.0,13983900000.0,,,736700000.0,736700000.0,7520900000.0,375600000.0,0.0,,375600000.0,375600000.0,,7145300000.0,184200000.0,1109900000.0,21900000.0,1088000000.0,,148700000.0,948500000.0,,,948500000.0,22241500000.0,12166100000.0,26300000.0,,159400000.0,7595100000.0,7595100000.0,,41300000.0,41300000.0,1085100000.0,706500000.0,,2150000000.0,,2150000000.0,413400000.0,1736600000.0,,,,,10075400000.0,736000000.0,,,507900000.0,,,1251600000.0,,,7579900000.0,7358000000.0,221900000.0,,,2023-09-30
,73671548.0,73671548.0,386500000.0,1065800000.0,14046200000.0,15326000000.0,1538000000.0,14046200000.0,496100000.0,14756300000.0,14756300000.0,14756300000.0,14756300000.0,4800000.0,11992800000.0,2424000000.0,736700000.0,736700000.0,7105700000.0,434500000.0,200000.0,0.0,434300000.0,434300000.0,0.0,6671200000.0,126400000.0,631500000.0,61800000.0,569700000.0,139000000.0,139000000.0,1120100000.0,57100000.0,0.0,1063000000.0,21862000000.0,13652900000.0,50700000.0,50700000.0,124600000.0,9069800000.0,1162600000.0,7907200000.0,36600000.0,36600000.0,1014000000.0,710100000.0,710100000.0,2205500000.0,-1365200000.0,3570700000.0,348500000.0,1856900000.0,1707700000.0,1171600000.0,342900000.0,0.0,8209200000.0,700100000.0,200400000.0,700100000.0,639200000.0,3500000.0,635700000.0,1184100000.0,-474000000.0,1658000000.0,5485400000.0,5302200000.0,183200000.0,1600000.0,181600000.0,2023-03-31
