Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Cash Cash Equivalents And Federal Funds Sold
1958763276.0,1958763276.0,,21708200000.0,56134900000.0,77843100000.0,56134900000.0,56134900000.0,,77843100000.0,56134900000.0,56134900000.0,723200000.0,,,19314300000.0,19314300000.0,,348087300000.0,21708200000.0,,,,404222200000.0,97660200000.0,97660200000.0,,,,,,,4266600000.0,,,,,,,25367900000.0,,25183100000.0,2024-03-31,,
1955051650.0,1955051650.0,14781400000.0,37328000000.0,47706300000.0,85034300000.0,47706300000.0,47706300000.0,,85034300000.0,47706300000.0,47706300000.0,550100000.0,,,21555900000.0,21555900000.0,,339095800000.0,37328000000.0,,,,386802100000.0,109297500000.0,109297500000.0,,,,,,,3572800000.0,,,,,,,22546600000.0,,18469700000.0,2023-09-30,,
1954706625.0,1954706625.0,1578700000.0,23914640000.0,39053766000.0,64005710000.0,41053766000.0,40091070000.0,2000000000.0,66005710000.0,42091070000.0,42091070000.0,512205000.0,5068695000.0,9618960000.0,21547066000.0,19547066000.0,2000000000.0,291077705000.0,23914640000.0,3481372000.0,1558517000.0,1922855000.0,333168775000.0,85103075000.0,85103075000.0,51453965000.0,31728344000.0,1919764000.0,0.0,1037304000.0,1037304000.0,1791495000.0,-2634868000.0,4426363000.0,175723000.0,4250640000.0,102320000.0,3244007000.0,24636947000.0,0.0,1769873000.0,2023-03-31,,
1954592495.0,1954592495.0,,23180000000.0,40640000000.0,63820000000.0,40640000000.0,40640000000.0,,63820000000.0,40640000000.0,40640000000.0,470000000.0,,,21550000000.0,21550000000.0,,263970000000.0,23180000000.0,,,,304610000000.0,71520000000.0,71520000000.0,,,,,,,2700000000.0,,,,,,,27450000000.0,,18420000000.0,2022-12-31,,
