Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Accrued Expenses,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
130252027.0,130252027.0,556200000.0,3860900000.0,2037500000.0,7797000000.0,816100000.0,2037500000.0,2418400000.0,6354500000.0,6354500000.0,7001400000.0,646900000.0,6354500000.0,6094000000.0,,,260500000.0,260500000.0,6233000000.0,2145100000.0,,,1928400000.0,1928400000.0,0.0,216700000.0,4087900000.0,194200000.0,1932500000.0,490000000.0,1442500000.0,,110800000.0,883900000.0,,,883900000.0,13234400000.0,8330400000.0,59500000.0,,356800000.0,150500000.0,150500000.0,4317000000.0,59000000.0,4258000000.0,2855600000.0,,2855600000.0,2855600000.0,,,,,4904000000.0,340600000.0,134600000.0,,,21500000.0,,,,2438100000.0,,,1969200000.0,1082900000.0,886300000.0,,,2024-03-31
130174452.0,130174452.0,1115600000.0,3510700000.0,1812700000.0,7583100000.0,903700000.0,1812700000.0,2066900000.0,6139300000.0,6139300000.0,6838100000.0,698800000.0,6139300000.0,,,,260300000.0,260300000.0,6638600000.0,1910700000.0,,,1677200000.0,1677200000.0,0.0,233500000.0,4727900000.0,330400000.0,1833500000.0,389700000.0,1443800000.0,,128200000.0,1080200000.0,,,1080200000.0,13476700000.0,7845100000.0,32100000.0,,303500000.0,119800000.0,119800000.0,4326600000.0,68600000.0,4258000000.0,2539000000.0,,2539000000.0,2539000000.0,,,,,5631600000.0,354000000.0,806900000.0,,,21300000.0,,,324800000.0,2814600000.0,,,1310000000.0,981800000.0,328200000.0,,,2023-09-30
130130117.0,130130117.0,1055700000.0,3207700000.0,1849600000.0,7391700000.0,782000000.0,1849600000.0,1962700000.0,6146700000.0,6146800000.0,6881100000.0,734400000.0,6146700000.0,164900000.0,-1293400000.0,4192400000.0,260300000.0,260300000.0,5965900000.0,1797300000.0,192000000.0,0.0,1605300000.0,1605200000.0,100000.0,192000000.0,4168600000.0,174200000.0,1602400000.0,357500000.0,1244900000.0,331400000.0,132100000.0,965700000.0,8700000.0,5500000.0,951500000.0,12847000000.0,7896400000.0,100000.0,117200000.0,263500000.0,0.0,104700000.0,4297100000.0,39100000.0,4258000000.0,2554000000.0,-1678100000.0,4232100000.0,2554000000.0,1567600000.0,2447400000.0,217100000.0,0.0,4950600000.0,800000.0,738800000.0,232800000.0,460400000.0,24400000.0,30000000.0,-5600000.0,92600000.0,2667800000.0,-730800000.0,3398600000.0,733000000.0,543700000.0,189300000.0,0.0,189300000.0,2023-03-31
