Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Prepaid Assets,Receivables,Taxes Receivable,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
375792810.0,375792810.0,1398796200000.0,1510524200000.0,461713600000.0,1999995900000.0,461713600000.0,489471700000.0,1999995900000.0,496766900000.0,7295200000.0,489471700000.0,485713800000.0,,,3757900000.0,3757900000.0,1985892500000.0,1510524200000.0,4891100000.0,54100000.0,,2377900000.0,2459100000.0,2482659400000.0,101688600000.0,101688600000.0,98423800000.0,,,,9900000.0,27758100000.0,10348700000.0,17409400000.0,9410700000.0,,,,,,,,3921600000.0,5930300000.0,111728000000.0,,,2024-03-31,
375347083.0,375347083.0,1218209800000.0,1336363900000.0,433847600000.0,1792869000000.0,433847600000.0,463066300000.0,1792869000000.0,466133500000.0,3067200000.0,463066300000.0,,,,3753500000.0,3753500000.0,1767476100000.0,1336363900000.0,6108600000.0,8500000.0,,2636800000.0,3463300000.0,2233609600000.0,85027400000.0,85027400000.0,82154600000.0,,,,10100000.0,29218700000.0,11809300000.0,17409400000.0,8296400000.0,,8296400000.0,8296400000.0,,,,,3566500000.0,7383400000.0,111592900000.0,,,2023-09-30,
374427276.0,374427276.0,1175961700000.0,1286886100000.0,404873800000.0,1715993900000.0,404873800000.0,435128600000.0,1715993900000.0,437995400000.0,2866800000.0,435128600000.0,1998400000.0,156999500000.0,174501500000.0,3744300000.0,3744300000.0,1668006100000.0,1286886100000.0,11317800000.0,6482500000.0,94500000.0,1608900000.0,3131900000.0,2106001500000.0,81004200000.0,79166800000.0,66256600000.0,6207200000.0,1837400000.0,1837400000.0,26200000.0,30254800000.0,12845400000.0,17409400000.0,7514800000.0,-10068300000.0,17583100000.0,8800000.0,3794700000.0,13773500000.0,6100000.0,363000000.0,4553200000.0,10557900000.0,104903600000.0,4997200000.0,1583000000.0,2023-03-31,
