symbol,exchange,latest_date,closing_price,last_action,last_action_date,current_principle,current_quantity,current_buy_price_avg,total_PL,unrealized_PL,user_name
AARTIPHARM,NSE,2024-10-11 00:00:00,606.5,Buy,2024-04-26 00:00:00,64967.0,175.0,371.24,0,41170.5,Akshay
BAJFINANCE,NSE,2024-10-11 00:00:00,7302.0,Buy,2024-04-26 00:00:00,140788.4,20.0,7039.42,0,5251.6,Akshay
CAPLIPOINT,NSE,2024-10-11 00:00:00,1906.45,Buy,2024-04-26 00:00:00,34219.35,45.0,760.43,0,51570.9,Akshay
CMSINFO,NSE,2024-10-11 00:00:00,587.35,Buy,2024-04-26 00:00:00,50443.25,143.0,352.75,0,33547.8,Akshay
DEEPAKNTR,NSE,2024-10-11 00:00:00,2829.6,Buy,2024-08-07 00:00:00,82040.0,32.0,2563.75,0,8507.2,Akshay
GPIL,NSE,2024-10-11 00:00:00,190.9,Sell,2024-09-02 00:00:00,0.0,0.0,0.0,76018.19,0.0,Akshay
HARIOMPIPE,NSE,2024-10-11 00:00:00,679.55,Buy,2024-07-30 00:00:00,111767.2,174.0,642.34,0,6474.5,Akshay
IEX,NSE,2024-10-11 00:00:00,204.59,Buy,2024-09-12 00:00:00,140532.22,649.0,216.54,0,-7753.31,Akshay
JINDALPHOT,NSE,2024-10-11 00:00:00,762.3,Buy,2024-04-26 00:00:00,78748.75,125.0,629.99,0,16538.75,Akshay
KDDL,NSE,2024-10-11 00:00:00,2980.9,Buy,2024-04-26 00:00:00,48716.0,38.0,1282.0,0,64558.2,Akshay
HFCL,NSE,2024-10-11 00:00:00,137.52,Buy,2024-04-26 00:00:00,63292.24,781.0,81.04,0,44110.88,Akshay
LANDMARK,NSE,2024-10-11 00:00:00,650.3,Sell,2024-06-05 00:00:00,0.0,0.0,0.0,-6362.76,0.0,Akshay
MACPOWER,NSE,2024-10-11 00:00:00,1280.5,Sell,2024-10-09 00:00:00,0.0,0.0,0.0,29029.77,0.0,Akshay
MASFIN,NSE,2024-10-11 00:00:00,293.8,Sell,2024-08-07 00:00:00,0.0,0.0,0.0,7956.78,0.0,Akshay
MUTHOOTFIN,NSE,2024-10-11 00:00:00,1945.45,Buy,2024-04-26 00:00:00,101515.0,79.0,1285.0,0,52175.55,Akshay
NATCOPHARM,NSE,2024-10-11 00:00:00,1436.25,Buy,2024-04-26 00:00:00,55033.52,71.0,775.12,0,46940.23,Akshay
NH,NSE,2024-10-11 00:00:00,1221.2,Buy,2024-09-11 00:00:00,79266.5,59.0,1343.5,24214.14,-7215.7,Akshay
PIIND,NSE,2024-10-11 00:00:00,4523.6,Buy,2024-04-26 00:00:00,79231.74,21.0,3772.94,0,15763.86,Akshay
RAIN,NSE,2024-10-11 00:00:00,172.98,Buy,2024-04-26 00:00:00,35601.93,147.0,242.19,0,-10173.87,Akshay
