symbol,exchange,latest_date,closing_price,last_action,last_action_date,current_principle,current_quantity,current_buy_price_avg,total_PL,unrealized_PL,user_name
AARTIPHARM,BSE,2024-10-11 00:00:00,607.05,Buy,2024-04-26 00:00:00,64967.0,175.0,371.24,0,41266.75,Akshay
BAJFINANCE,BSE,2024-10-11 00:00:00,7299.8,Buy,2024-04-26 00:00:00,140788.4,20.0,7039.42,0,5207.6,Akshay
CAPLIPOINT,BSE,2024-10-11 00:00:00,1907.8,Buy,2024-04-26 00:00:00,34219.35,45.0,760.43,0,51631.65,Akshay
CMSINFO,BSE,2024-10-11 00:00:00,588.2,Buy,2024-04-26 00:00:00,50443.25,143.0,352.75,0,33669.35,Akshay
DEEPAKNTR,BSE,2024-10-11 00:00:00,2828.55,Buy,2024-08-07 00:00:00,82040.0,32.0,2563.75,0,8473.6,Akshay
GPIL,BSE,2024-10-11 00:00:00,190.95,Sell,2024-09-02 00:00:00,0.0,0.0,0.0,76018.19,0.0,Akshay
HARIOMPIPE,BSE,2024-10-11 00:00:00,680.15,Buy,2024-07-30 00:00:00,111767.2,174.0,642.34,0,6578.9,Akshay
IEX,BSE,2024-10-11 00:00:00,204.45,Buy,2024-09-12 00:00:00,140532.22,649.0,216.54,0,-7844.17,Akshay
JINDALPHOT,BSE,2024-10-11 00:00:00,765.0,Buy,2024-04-26 00:00:00,78748.75,125.0,629.99,0,16876.25,Akshay
KDDL,BSE,2024-10-11 00:00:00,2978.7,Buy,2024-04-26 00:00:00,48716.0,38.0,1282.0,0,64474.6,Akshay
HFCL,BSE,2024-10-11 00:00:00,137.5,Buy,2024-04-26 00:00:00,63292.24,781.0,81.04,0,44095.26,Akshay
LANDMARK,BSE,2024-10-11 00:00:00,652.15,Sell,2024-06-05 00:00:00,0.0,0.0,0.0,-6362.76,0.0,Akshay
MACPOWER,N/A,1900-01-01,0.0,N/A,1900-01-01,0.0,0.0,0.0,0.0,0.0,Akshay
MASFIN,BSE,2024-10-11 00:00:00,293.9,Sell,2024-08-07 00:00:00,0.0,0.0,0.0,7956.78,0.0,Akshay
MUTHOOTFIN,BSE,2024-10-11 00:00:00,1945.05,Buy,2024-04-26 00:00:00,101515.0,79.0,1285.0,0,52143.95,Akshay
NATCOPHARM,BSE,2024-10-11 00:00:00,1436.2,Buy,2024-04-26 00:00:00,55033.52,71.0,775.12,0,46936.68,Akshay
