symbol,exchange,latest_date,closing_price,last_action,last_action_date,current_principle,current_quantity,current_buy_price_avg,total_PL,unrealized_PL,user_name
ADANIGREEN,BSE,2024-06-07,1863.8,Buy,2024-05-05,40913.2,18,2272.96,0,-7364.8,Anant
ANGELONE,BSE,2024-06-07,2587.2,Buy,2024-05-05,44479.5,26,1710.75,0,22787.7,Anant
ARIHANTSUP,BSE,2024-06-07,334.6,Buy,2024-05-05,39101.06,175,223.43,0,19453.95,Anant
AWHCL,BSE,2024-06-07,438.65,Buy,2024-05-05,49608.0,100,496.08,0,-5743.0,Anant
AWL,BSE,2024-06-07,344.9,Buy,2024-05-05,34108.8,44,775.2,0,-18933.2,Anant
AXITA,BSE,2024-06-07,20.23,Buy,2024-05-05,17904.6,392,45.67,0,-9974.44,Anant
CHAMBLFERT,BSE,2024-06-07,407.85,Buy,2024-05-05,72571.44,172,421.93,0,-2421.24,Anant
CRAFTSMAN,BSE,2024-06-07,4372.4,Buy,2024-05-05,52649.75,11,4786.34,0,-4553.35,Anant
DHARMAJ,BSE,2024-06-07,231.7,Buy,2024-05-05,43430.96,164,264.82,0,-5432.16,Anant
DIAMINESQ,BSE,2024-06-07,497.6,Buy,2024-05-05,43727.35,82,533.26,0,-2924.15,Anant
DMART,BSE,2024-06-07,4745.45,Buy,2024-05-06,81326.1,18,4518.12,0,4092.0,Anant
DREAMFOLKS,BSE,2024-06-07,474.6,Buy,2024-05-05,45299.85,84,539.28,0,-5433.45,Anant
DSSL,BSE,2024-06-07,1185.6,Buy,2024-05-05,40044.85,85,471.12,0,60731.15,Anant
ECLERX,BSE,2024-06-07,2319.25,Buy,2024-05-05,45758.4,25,1830.34,0,12222.85,Anant
EMIL,BSE,2024-06-07,214.1,Buy,2024-05-05,28893.71,304,95.05,0,36192.69,Anant
FIVESTAR,BSE,2024-06-07,792.8,Buy,2024-05-06,43216.25,73,592.0,0,14658.15,Anant
GTPL,BSE,2024-06-07,173.15,Buy,2024-05-05,54936.6,226,243.08,0,-15804.7,Anant
HGINFRA,BSE,2024-06-07,1531.3,Buy,2024-05-05,44181.55,47,940.03,0,27789.55,Anant
HIGHENE,BSE,2024-06-07,771.75,Buy,2024-05-05,40452.45,73,554.14,0,15885.3,Anant
INDIGOPNTS,BSE,2024-06-07,1365.55,Buy,2024-05-05,44636.65,28,1594.17,0,-6401.25,Anant
INTELLECT,BSE,2024-06-07,950.6,Sell,2024-05-10,0.0,0,0.0,11550.65,0.0,Anant
JYOTIRES,BSE,2024-06-07,1377.95,Buy,2024-05-05,49906.55,33,1512.32,0,-4434.2,Anant
KPEL,BSE,2024-06-07,429.8,Buy,2024-05-05,34920.0,90,388.0,0,3762.0,Anant
KSOLVES,BSE,2024-06-07,1090.3,Buy,2024-05-06,75337.0,60,1255.62,0,-9919.0,Anant
LEMONTREE,BSE,2024-06-07,142.0,Buy,2024-05-05,40369.82,427,94.54,0,20264.18,Anant
MAHABANK,BSE,2024-06-07,66.65,Buy,2024-05-05,49200.95,1070,45.98,0,22114.55,Anant
NUVAMA,BSE,2024-06-07,5190.25,Buy,2024-05-05,50961.25,12,4246.77,0,11321.75,Anant
PDSL,BSE,2024-06-07,442.7,Buy,2024-05-05,42075.0,99,425.0,0,1752.3,Anant
PRICOLLTD,BSE,2024-06-07,438.4,Buy,2024-05-05,34404.3,156,220.54,0,33986.1,Anant
RADHIKAJWE,BSE,2024-06-07,60.16,Buy,2024-05-05,37421.22,797,46.95,0,10526.3,Anant
RAINBOW,BSE,2024-06-07,1311.7,Buy,2024-05-05,65082.1,59,1103.09,0,12308.2,Anant
SANDUMA,BSE,2024-06-07,532.1,Buy,2024-05-05,59449.0,130,457.3,0,9724.0,Anant
SHREDIGCEM,BSE,2024-06-07,106.35,Buy,2024-05-06,42167.85,375,112.45,0,-2286.6,Anant
SRHHYPOLTD,BSE,2024-06-07,525.55,Buy,2024-05-05,40581.3,58,699.68,0,-10099.4,Anant
UJJIVAN,BSE,2024-05-02,590.35,Buy,2024-05-05,24638.65,87,283.2,0,-0.0,Anant
EMSLIMITED,BSE,2024-06-07,491.35,Buy,2024-05-10,42672.5,101,422.5,0,6953.85,Anant
